No.,Entidad,Organo,Grupo,Emisora,IdEmisora,Fecha de transmisión del material,Hora transmisión,Folio,Versión,Actor,Notificado,Oficio
919,VERACRUZ,DATERT,TELEVISA,XHAH-TDT-CANAL17.2,5350,25/10/2023,13:14:57,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6466_2023
920,VERACRUZ,DATERT,"RADIODIFUSORA, JUAN JOSÉ SOLÍS OLEA",XHAFA-FM-99.3,2495,25/10/2023,14:29:00,RA00128-23,EL PT ES LA 4T,PT,Sí,INE_DEPPP_DATERT_6594_2023
921,VERACRUZ,DATERT,"RADIODIFUSORA, JUAN JOSÉ SOLÍS OLEA",XHGB-FM-103.5,2496,25/10/2023,14:32:29,RA00128-23,EL PT ES LA 4T,PT,Sí,INE_DEPPP_DATERT_6594_2023
922,VERACRUZ,DATERT,RADIORAMA DATE,XHBY-FM-96.7,2515,25/10/2023,15:43:11,RA00372-23,MENSAJE FUERZA X MEXICO VERACRUZ,FXM,Sí,INE_DEPPP_DATERT_6468_2023
923,VERACRUZ,DATERT,"RADIODIFUSORA, JUAN JOSÉ SOLÍS OLEA",XHAFA-FM-99.3,2495,25/10/2023,16:37:30,RA00372-23,MENSAJE FUERZA X MEXICO VERACRUZ,FXM,Sí,INE_DEPPP_DATERT_6594_2023
924,VERACRUZ,DATERT,"RADIODIFUSORA, JUAN JOSÉ SOLÍS OLEA",XHGB-FM-103.5,2496,25/10/2023,16:29:04,RA00372-23,MENSAJE FUERZA X MEXICO VERACRUZ,FXM,Sí,INE_DEPPP_DATERT_6594_2023
925,VERACRUZ,DATERT,"RADIODIFUSORA, JUAN JOSÉ SOLÍS OLEA",XHAFA-FM-99.3,2495,25/10/2023,19:28:31,RA00604-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6594_2023
926,VERACRUZ,DATERT,"RADIODIFUSORA, JUAN JOSÉ SOLÍS OLEA",XHGB-FM-103.5,2496,25/10/2023,19:30:00,RA00604-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6594_2023
927,VERACRUZ,JDE30-10,GOBIERNO DEL ESTADO DE VERACRUZ,XHCPEO-TDT-CANAL26,5750,26/10/2023,08:28:28,RV00635-23,OTRO MEXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_JDE30-10_0024_2023
928,VERACRUZ,JDE30-04,"MANUEL, VER VELA",XHCS-FM-103.7,1621,26/10/2023,13:27:43,RA00662-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_JDE30-04_0048_2023
929,VERACRUZ,DATERT,TV AZTECA,XHSTE-TDT-CANAL32,3421,27/10/2023,08:13:13,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6674_2023
930,VERACRUZ,DATERT,"TRANSMISORA REGIONAL RADIO FÓRMULA, XHEOM",XHEOM-FM-98.5,3009,27/10/2023,18:45:45,RA00662-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6622_2023
931,VERACRUZ,JDE30-05,MARCOS LÓPEZ ZAMORA,XHRIC-FM-101.9,1618,27/10/2023,20:21:24,RA00128-23,EL PT ES LA 4T,PT,Sí,INE_DEPPP_JDE30-05_0018_2023
932,VERACRUZ,DATERT,"TRANSMISORA REGIONAL RADIO FÓRMULA, XHEOM",XHEOM-FM-98.5,3009,28/10/2023,20:20:41,RA00664-23,POBREZA,PRI,Sí,INE_DEPPP_DATERT_6622_2023
933,VERACRUZ,DATERT,SPREM,XHSPRCA-TDT-CANAL26.2,4127,28/10/2023,21:40:54,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6559_2023
934,VERACRUZ,DATERT,RADIORAMA DATE,XHTVR-FM-99.5,2211,30/10/2023,17:25:04,RA00740-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_DATERT_6468_2023
935,VERACRUZ,DATERT,"TRANSMISORA REGIONAL RADIO FÓRMULA, XHEOM",XHEOM-FM-98.5,3009,30/10/2023,19:31:19,RA00741-23,OTRO MÉXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_DATERT_6622_2023
936,VERACRUZ,DATERT,SPREM,XHSPRXA-TDT-CANAL35.5,4132,31/10/2023,09:09:07,RV00584-23,POBREZA,PRI,Sí,INE_DEPPP_DATERT_6559_2023
937,VERACRUZ,DATERT,"TRANSMISORA REGIONAL RADIO FÓRMULA, XHEOM",XHEOM-FM-98.5,3009,31/10/2023,19:45:45,RA00860-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6622_2023
938,YUCATÁN,DATERT,TELSUSA DATE,XHTMYU-TDT-CANAL27,5099,19/10/2023,20:37:37,RV00582-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6474_2023
939,YUCATÁN,DATERT,TELSUSA DATE,XHTMYU-TDT-CANAL27,5099,20/10/2023,09:55:02,RV00550-23,JEEP 3 MCN,MC,Sí,INE_DEPPP_DATERT_6474_2023
940,YUCATÁN,DATERT,BERNARDO LARIS RODRÍGUEZ,XHUL-FM-96.9,2524,21/10/2023,14:56:15,RA00741-23,OTRO MÉXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_DATERT_6480_2023
941,YUCATÁN,DATERT,TELSUSA DATE,XHTMYU-TDT-CANAL27,5099,21/10/2023,20:41:41,RV00628-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_DATERT_6474_2023
